component_id,component_name,type,name,value
system,system,param,number_of_cores,2
system,system,param,number_of_L1Directories,0
system,system,param,number_of_L2Directories,0
system,system,param,number_of_L2s,1
system,system,param,Private_L2,1
system,system,param,number_of_L3s,1
system,system,param,number_of_NoCs,1
system,system,param,homogeneous_cores,1
system,system,param,homogeneous_L2s,1
system,system,param,homogeneous_L1Directories,1
system,system,param,homogeneous_L2Directories,1
system,system,param,homogeneous_L3s,1
system,system,param,homogeneous_ccs,1
system,system,param,homogeneous_NoCs,1
system,system,param,core_tech_node,65
system,system,param,target_core_clockrate,3400
system,system,param,temperature,380
system,system,param,number_cache_levels,3
system,system,param,interconnect_projection_type,0
system,system,param,device_type,0
system,system,param,longer_channel_device,1
system,system,param,power_gating,1
system,system,param,machine_bits,64
system,system,param,virtual_address_width,64
system,system,param,physical_address_width,52
system,system,param,virtual_memory_page_size,4096
system,system,stat,total_cycles,100000
system,system,stat,idle_cycles,0
system,system,stat,busy_cycles,100000
system.core0,core0,param,clock_rate,3400
system.core0,core0,param,vdd,1.25
system.core0,core0,param,power_gating_vcc,-1
system.core0,core0,param,opt_local,0
system.core0,core0,param,instruction_length,32
system.core0,core0,param,opcode_width,16
system.core0,core0,param,x86,1
system.core0,core0,param,micro_opcode_width,8
system.core0,core0,param,machine_type,0
system.core0,core0,param,number_hardware_threads,2
system.core0,core0,param,fetch_width,4
system.core0,core0,param,number_instruction_fetch_ports,1
system.core0,core0,param,decode_width,4
system.core0,core0,param,issue_width,4
system.core0,core0,param,peak_issue_width,6
system.core0,core0,param,commit_width,4
system.core0,core0,param,fp_issue_width,2
system.core0,core0,param,prediction_width,1
system.core0,core0,param,pipelines_per_core,"1,1"
system.core0,core0,param,pipeline_depth,"31,31"
system.core0,core0,param,ALU_per_core,6
system.core0,core0,param,MUL_per_core,1
system.core0,core0,param,FPU_per_core,2
system.core0,core0,param,instruction_buffer_size,32
system.core0,core0,param,decoded_stream_buffer_size,16
system.core0,core0,param,instruction_window_scheme,0
system.core0,core0,param,instruction_window_size,64
system.core0,core0,param,fp_instruction_window_size,64
system.core0,core0,param,ROB_size,128
system.core0,core0,param,archi_Regs_IRF_size,16
system.core0,core0,param,archi_Regs_FRF_size,32
system.core0,core0,param,phy_Regs_IRF_size,256
system.core0,core0,param,phy_Regs_FRF_size,256
system.core0,core0,param,rename_scheme,0
system.core0,core0,param,checkpoint_depth,0
system.core0,core0,param,register_windows_size,0
system.core0,core0,param,LSU_order,inorder
system.core0,core0,param,store_buffer_size,96
system.core0,core0,param,load_buffer_size,48
system.core0,core0,param,memory_ports,2
system.core0,core0,param,RAS_size,64
system.core0,core0,param,number_of_BPT,2
system.core0,core0,param,number_of_BTB,2
system.core0,core0,stat,total_instructions,400000
system.core0,core0,stat,int_instructions,200000
system.core0,core0,stat,fp_instructions,100000
system.core0,core0,stat,branch_instructions,100000
system.core0,core0,stat,branch_mispredictions,0
system.core0,core0,stat,load_instructions,0
system.core0,core0,stat,store_instructions,50000
system.core0,core0,stat,committed_instructions,400000
system.core0,core0,stat,committed_int_instructions,200000
system.core0,core0,stat,committed_fp_instructions,100000
system.core0,core0,stat,pipeline_duty_cycle,1
system.core0,core0,stat,total_cycles,100000
system.core0,core0,stat,idle_cycles,0
