Section,Subsection,Metric,Value,Unit
Processor,,Area,324.938,mm^2
Processor,,Peak Power,120.932,W
Processor,,Total Leakage,29.8881,W
Processor,,Peak Dynamic,91.0444,W
Processor,,Subthreshold Leakage,29.5655,W
Processor,,Subthreshold Leakage with power gating,14.458,W
Processor,,Gate Leakage,0.322558,W
Processor,,Runtime Dynamic,9.51724,W
Processor,,Area,87.2645,mm^2
Processor,,Peak Dynamic,45.0372,W
Processor,,Subthreshold Leakage,8.47234,W
Processor,,Subthreshold Leakage with power gating,3.86197,W
Processor,,Gate Leakage,0.0864485,W
Processor,,Runtime Dynamic,5.79568,W
Processor,,Area,162.449,mm^2
Processor,,Peak Dynamic,22.3605,W
Processor,,Subthreshold Leakage,9.80658,W
Processor,,Subthreshold Leakage with power gating,5.3988,W
Processor,,Gate Leakage,0.100222,W
Processor,,Runtime Dynamic,0.691017,W
Processor,,Area,22.1914,mm^2
Processor,,Peak Dynamic,0.494266,W
Processor,,Subthreshold Leakage,1.70833,W
Processor,,Subthreshold Leakage with power gating,0.944499,W
Processor,,Gate Leakage,0.0156025,W
Processor,,Runtime Dynamic,0.191199,W
Processor,,Area,53.0328,mm^2
Processor,,Peak Dynamic,23.1524,W
Processor,,Subthreshold Leakage,9.57824,W
Processor,,Subthreshold Leakage with power gating,4.2527,W
Processor,,Gate Leakage,0.120285,W
Processor,,Runtime Dynamic,2.83934,W
Core,,Area,1.36351,mm^2
Core,,Peak Dynamic,0.703707,W
Core,,Subthreshold Leakage,0.13238,W
Core,,Subthreshold Leakage with power gating,0.0603433,W
Core,,Gate Leakage,0.00135076,W
Core,,Runtime Dynamic,5.79568,W
Core,,Area,0.166429,mm^2
Core,,Peak Dynamic,0.148963,W
Core,,Subthreshold Leakage,0.0151819,W
Core,,Subthreshold Leakage with power gating,0.00721124,W
Core,,Gate Leakage,0.000159011,W
Core,,Runtime Dynamic,0.749915,W
Core,,Area,0.155222,mm^2
Core,,Peak Dynamic,0.110246,W
Core,,Subthreshold Leakage,0.0126344,W
Core,,Subthreshold Leakage with power gating,0.00606006,W
Core,,Gate Leakage,0.00010745,W
Core,,Runtime Dynamic,0.0833082,W
Core,,Area,0.000553402,mm^2
Core,,Peak Dynamic,0.00237388,W
Core,,Subthreshold Leakage,4.78586e-05,W
Core,,Subthreshold Leakage with power gating,2.63375e-05,W
Core,,Gate Leakage,4.16791e-07,W
Core,,Runtime Dynamic,0.0189911,W
Core,,Area,0.00131543,mm^2
Core,,Peak Dynamic,0.0246042,W
Core,,Subthreshold Leakage,0.000538954,W
Core,,Subthreshold Leakage with power gating,0.00024253,W
Core,,Gate Leakage,3.91915e-06,W
Core,,Runtime Dynamic,0.196833,W
Core,,Area,0.108159,mm^2
Core,,Peak Dynamic,0.0709358,W
Core,,Subthreshold Leakage,0.00903484,W
Core,,Subthreshold Leakage with power gating,0.00428255,W
Core,,Gate Leakage,0.000106881,W
Core,,Runtime Dynamic,0.708347,W
Core,,Area,0.0717513,mm^2
Core,,Peak Dynamic,0.0458425,W
Core,,Subthreshold Leakage,0.00598917,W
Core,,Subthreshold Leakage with power gating,0.00291199,W
Core,,Gate Leakage,4.9393e-05,W
Core,,Runtime Dynamic,0.0438993,W
Core,,Area,0.018086,mm^2
Core,,Peak Dynamic,0.0133541,W
Core,,Subthreshold Leakage,0.00108498,W
Core,,Subthreshold Leakage with power gating,0.00048824,W
Core,,Gate Leakage,1.02625e-05,W
Core,,Runtime Dynamic,0.213666,W
Core,,Area,0.0335457,mm^2
Core,,Peak Dynamic,0.036723,W
Core,,Subthreshold Leakage,0.00356461,W
Core,,Subthreshold Leakage with power gating,0.00160408,W
Core,,Runtime Dynamic,1.15646,W
Core,,Area,0.0121036,mm^2
Core,,Peak Dynamic,0.00368759,W
Core,,Subthreshold Leakage,0.000801958,W
Core,,Subthreshold Leakage with power gating,0.000360881,W
Core,,Gate Leakage,7.1585e-06,W
Core,,Runtime Dynamic,0.0147508,W
Core,,Area,0.0121036,mm^2
Core,,Peak Dynamic,0.00368759,W
Core,,Subthreshold Leakage,0.000801958,W
Core,,Subthreshold Leakage with power gating,0.000360881,W
Core,,Gate Leakage,7.1585e-06,W
Core,,Runtime Dynamic,0.0147508,W
Core,,Area,0.26249,mm^2
Core,,Peak Dynamic,0.447085,W
Core,,Subthreshold Leakage,0.0357461,W
Core,,Subthreshold Leakage with power gating,0.0162617,W
Core,,Runtime Dynamic,3.18096,W
Core,,Area,0.0242216,mm^2
Core,,Peak Dynamic,0.0313991,W
Core,,Subthreshold Leakage,0.00159238,W
Core,,Subthreshold Leakage with power gating,0.00089251,W
Core,,Gate Leakage,8.85416e-06,W
Core,,Runtime Dynamic,0.101531,W
Core,,Area,0.00663002,mm^2
Core,,Peak Dynamic,0.0223217,W
Core,,Subthreshold Leakage,0.000136857,W
Core,,Subthreshold Leakage with power gating,6.88085e-05,W
Core,,Gate Leakage,1.03349e-06,W
Core,,Runtime Dynamic,0.0990301,W
Core,,Area,0.00663002,mm^2
Core,,Peak Dynamic,0.00907735,W
Core,,Subthreshold Leakage,0.000136857,W
Core,,Subthreshold Leakage with power gating,6.88085e-05,W
Core,,Gate Leakage,1.03349e-06,W
Core,,Runtime Dynamic,0.00248242,W
Core,,Area,0.0109615,mm^2
