Component,Metric,Unit,Value
Processor,Area,mm^2,352.401
Processor,Peak Power,W,145.772
Processor,Total Leakage,W,31.3899
Processor,Peak Dynamic,W,114.383
Processor,Subthreshold Leakage,W,31.0481
Processor,Subthreshold Leakage with power gating,W,14.9494
Processor,Gate Leakage,W,0.341863
Processor,Runtime Dynamic,W,79.2128
 > Total Cores,Area,mm^2,87.2645
 > Total Cores,Peak Dynamic,W,45.0372
 > Total Cores,Subthreshold Leakage,W,8.47234
 > Total Cores,Subthreshold Leakage with power gating,W,3.86197
 > Total Cores,Gate Leakage,W,0.0864485
 > Total Cores,Runtime Dynamic,W,5.79568
 > Total L2s,Area,mm^2,162.449
 > Total L2s,Peak Dynamic,W,22.3605
 > Total L2s,Subthreshold Leakage,W,9.80658
 > Total L2s,Subthreshold Leakage with power gating,W,5.3988
 > Total L2s,Gate Leakage,W,0.100222
 > Total L2s,Runtime Dynamic,W,0.691017
 > Total Second Level Directory,Area,mm^2,49.0405
 > Total Second Level Directory,Peak Dynamic,W,23.479
 > Total Second Level Directory,Subthreshold Leakage,W,3.1317
 > Total Second Level Directory,Subthreshold Leakage with power gating,W,1.40926
 > Total Second Level Directory,Gate Leakage,W,0.034322
 > Total Second Level Directory,Runtime Dynamic,W,69.8371
 > Total NoCs (Network/Bus),Area,mm^2,53.6467
 > Total NoCs (Network/Bus),Peak Dynamic,W,23.5058
 > Total NoCs (Network/Bus),Subthreshold Leakage,W,9.63744
 > Total NoCs (Network/Bus),Subthreshold Leakage with power gating,W,4.27934
 > Total NoCs (Network/Bus),Gate Leakage,W,0.12087
 > Total NoCs (Network/Bus),Runtime Dynamic,W,2.88904
Core,Area,mm^2,1.36351
Core,Peak Dynamic,W,0.703707
Core,Subthreshold Leakage,W,0.13238
Core,Subthreshold Leakage with power gating,W,0.0603433
Core,Gate Leakage,W,0.00135076
Core,Runtime Dynamic,W,5.79568
 > Instruction Fetch Unit,Area,mm^2,0.166429
 > Instruction Fetch Unit,Peak Dynamic,W,0.148963
 > Instruction Fetch Unit,Subthreshold Leakage,W,0.0151819
 > Instruction Fetch Unit,Subthreshold Leakage with power gating,W,0.00721124
 > Instruction Fetch Unit,Gate Leakage,W,0.000159011
 > Instruction Fetch Unit,Runtime Dynamic,W,0.749915
 > Load Store Unit,Area,mm^2,0.108159
 > Load Store Unit,Peak Dynamic,W,0.0709358
 > Load Store Unit,Subthreshold Leakage,W,0.00903484
 > Load Store Unit,Subthreshold Leakage with power gating,W,0.00428255
 > Load Store Unit,Gate Leakage,W,0.000106881
 > Load Store Unit,Runtime Dynamic,W,0.708347
 > Memory Management Unit,Area,mm^2,0.0335457
 > Memory Management Unit,Peak Dynamic,W,0.036723
 > Memory Management Unit,Subthreshold Leakage,W,0.00356461
 > Memory Management Unit,Subthreshold Leakage with power gating,W,0.00160408
 > Memory Management Unit,Runtime Dynamic,W,1.15646
 > Execution Unit,Area,mm^2,0.26249
 > Execution Unit,Peak Dynamic,W,0.447085
 > Execution Unit,Subthreshold Leakage,W,0.0357461
 > Execution Unit,Subthreshold Leakage with power gating,W,0.0162617
 > Execution Unit,Runtime Dynamic,W,3.18096
L2,Area,mm^2,2.53827
L2,Peak Dynamic,W,0.349383
L2,Subthreshold Leakage,W,0.153228
L2,Subthreshold Leakage with power gating,W,0.0843563
L2,Gate Leakage,W,0.00156597
L2,Runtime Dynamic,W,0.691017
Second Level Directory,Area,mm^2,49.0405
Second Level Directory,Peak Dynamic,W,23.479
Second Level Directory,Subthreshold Leakage,W,3.1317
Second Level Directory,Subthreshold Leakage with power gating,W,1.40926
Second Level Directory,Gate Leakage,W,0.034322
Second Level Directory,Runtime Dynamic,W,69.8371
NOC,Area,mm^2,53.6467
NOC,Peak Dynamic,W,23.5058
NOC,Subthreshold Leakage,W,9.63744
NOC,Subthreshold Leakage with power gating,W,4.27934
NOC,Gate Leakage,W,0.12087
NOC,Runtime Dynamic,W,2.88904
 > Router,Area,mm^2,0.602135
 > Router,Peak Dynamic,W,0.231369
 > Router,Subthreshold Leakage,W,0.127816
 > Router,Subthreshold Leakage with power gating,W,0.0566188
 > Router,Gate Leakage,W,0.00166364
 > Router,Runtime Dynamic,W,1.66586
 > Per Router Links,Area,mm^2,0.236095
 > Per Router Links,Peak Dynamic,W,0.135909
 > Per Router Links,Subthreshold Leakage,W,0.0227687
 > Per Router Links,Subthreshold Leakage with power gating,W,0.0102459
 > Per Router Links,Gate Leakage,W,0.000224949
 > Per Router Links,Runtime Dynamic,W,1.22318
