Component,Metric,Unit,Value
Processor,Area,mm^2,268.326
Processor,Peak Power,W,41.9353
Processor,Total Leakage,W,4.72826
Processor,Peak Dynamic,W,37.2071
Processor,Subthreshold Leakage,W,3.62843
Processor,Subthreshold Leakage with power gating,W,1.91693
Processor,Gate Leakage,W,1.09983
Processor,Runtime Dynamic,W,26.9331
 > Total Cores,Area,mm^2,115.989
 > Total Cores,Peak Dynamic,W,21.2115
 > Total Cores,Subthreshold Leakage,W,0.452694
 > Total Cores,Subthreshold Leakage with power gating,W,0.205273
 > Total Cores,Gate Leakage,W,0.31214
 > Total Cores,Runtime Dynamic,W,11.4424
 > Total L2s,Area,mm^2,79.3999
 > Total L2s,Peak Dynamic,W,8.1374
 > Total L2s,Subthreshold Leakage,W,2.77828
 > Total L2s,Subthreshold Leakage with power gating,W,1.53307
 > Total L2s,Gate Leakage,W,0.562366
 > Total L2s,Runtime Dynamic,W,4.50099
 > Total First Level Directory,Area,mm^2,8.59141
 > Total First Level Directory,Peak Dynamic,W,2.03499
 > Total First Level Directory,Subthreshold Leakage,W,0.265204
 > Total First Level Directory,Subthreshold Leakage with power gating,W,0.119342
 > Total First Level Directory,Gate Leakage,W,0.105242
 > Total First Level Directory,Runtime Dynamic,W,4.57546
 > Total NoCs (Network/Bus),Area,mm^2,9.68655
 > Total NoCs (Network/Bus),Peak Dynamic,W,0.662898
 > Total NoCs (Network/Bus),Subthreshold Leakage,W,0.0718904
 > Total NoCs (Network/Bus),Subthreshold Leakage with power gating,W,0.0320484
 > Total NoCs (Network/Bus),Gate Leakage,W,0.0547734
 > Total NoCs (Network/Bus),Runtime Dynamic,W,0.662898
 > Total MCs,Area,mm^2,32.5567
 > Total MCs,Peak Dynamic,W,3.37693
 > Total MCs,Subthreshold Leakage,W,0.030066
 > Total MCs,Subthreshold Leakage with power gating,W,0.0135603
 > Total MCs,Gate Leakage,W,0.0174759
 > Total MCs,Runtime Dynamic,W,4.50302
 > Total NIUs,Area,mm^2,15.8633
 > Total NIUs,Peak Dynamic,W,0.986351
 > Total NIUs,Subthreshold Leakage,W,0.0189538
 > Total NIUs,Subthreshold Leakage with power gating,W,0.00852919
 > Total NIUs,Gate Leakage,W,0.0299197
 > Total NIUs,Runtime Dynamic,W,0.690446
 > Total PCIes,Area,mm^2,6.24
 > Total PCIes,Peak Dynamic,W,0.796931
 > Total PCIes,Subthreshold Leakage,W,0.0113465
 > Total PCIes,Subthreshold Leakage with power gating,W,0.00510594
 > Total PCIes,Gate Leakage,W,0.0179112
 > Total PCIes,Runtime Dynamic,W,0.557852
Core,Area,mm^2,14.4986
Core,Peak Dynamic,W,2.65144
Core,Subthreshold Leakage,W,0.0565868
Core,Subthreshold Leakage with power gating,W,0.0256592
Core,Gate Leakage,W,0.0390175
Core,Runtime Dynamic,W,11.4424
 > Instruction Fetch Unit,Area,mm^2,3.75162
 > Instruction Fetch Unit,Peak Dynamic,W,0.868907
 > Instruction Fetch Unit,Subthreshold Leakage,W,0.00730995
 > Instruction Fetch Unit,Subthreshold Leakage with power gating,W,0.00338269
 > Instruction Fetch Unit,Gate Leakage,W,0.0065338
 > Instruction Fetch Unit,Runtime Dynamic,W,2.92392
 > Load Store Unit,Area,mm^2,1.9937
 > Load Store Unit,Peak Dynamic,W,0.216764
 > Load Store Unit,Subthreshold Leakage,W,0.00404022
 > Load Store Unit,Subthreshold Leakage with power gating,W,0.00187306
 > Load Store Unit,Gate Leakage,W,0.00382306
 > Load Store Unit,Runtime Dynamic,W,2.35236
 > Memory Management Unit,Area,mm^2,1.16727
 > Memory Management Unit,Peak Dynamic,W,0.230697
 > Memory Management Unit,Subthreshold Leakage,W,0.00311312
 > Memory Management Unit,Subthreshold Leakage with power gating,W,0.0014009
 > Memory Management Unit,Runtime Dynamic,W,1.41595
 > Execution Unit,Area,mm^2,5.82896
 > Execution Unit,Peak Dynamic,W,1.33507
 > Execution Unit,Subthreshold Leakage,W,0.0271387
 > Execution Unit,Subthreshold Leakage with power gating,W,0.0122593
 > Execution Unit,Runtime Dynamic,W,4.75018
L2,Area,mm^2,9.92498
L2,Peak Dynamic,W,1.01718
L2,Subthreshold Leakage,W,0.347285
